"DAT_OCR";"NUM_PLACA";"NUM_VELOCIDADE";"COD_LATITUDE";"COD_LONGITUDE";"LOCEQUIP"
23/07/23;"KXE7838";31;"-22.9490640000";"-43.3727000000";"ESTRADA DOS BANDEIRANTES PROXIMO A AVENIDA COMANDANTE GUARANYS - SENTIDO TANQUE - FX 3"
23/07/23;"KXR7798";21;"-22.9677060000";"-43.3977170000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 971 - SENTIDO CURICICA - FX 3 PISTA CENTRAL"
23/07/23;"KVO5E40";64;"-22.9595420000";"-43.3880270000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 4938 - SENTIDO RECREIO - FX 2"
23/07/23;"LOI2042";54;"-23.0135720000";"-43.4627500000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 15500 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"RJL4435";25;"-22.9731500000";"-43.3854850000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 3 PISTA CENTRAL"
23/07/23;"RJP2535";19;"-22.9732370000";"-43.3709890000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 1111 - SENTIDO RIOCENTRO - FX 3 PISTA CENTRAL"
23/07/23;"RIP2600";28;"-22.9490640000";"-43.3727000000";"ESTRADA DOS BANDEIRANTES PROXIMO A AVENIDA COMANDANTE GUARANYS - SENTIDO TANQUE - FX 2"
23/07/23;"FHQ8176";19;"-23.0004550000";"-43.4301970000";"AVENIDA SALVADOR ALLENDE PROXIMO AO Nº 6300 - SENTIDO PRAIA - FX 2 PISTA CENTRAL"
23/07/23;"RNW8105";18;"-22.9640820000";"-43.3945510000";"AVENIDA SALVADOR ALLENDE PROXIMO AO N° 4700 - SENTIDO CURICICA - FX 2 PISTA CENTRAL"
23/07/23;"DIV9138";37;"-22.9111500000";"-43.2378650000";"RUA SAO FRANCISCO XAVIER PROXIMO AO Nº 609 - SENTIDO RUA HADDOCK LOBO - FX 3 FAIXA EXCLUSIVA BRS"
23/07/23;"KYV8F94";23;"-22.9731500000";"-43.3854850000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 2400 - SENTIDO RIOCENTRO - FX 2 PISTA CENTRAL"
